Ticker,Ex-Dividend Date,Yield,Period
CVLY,7/27/2020,5.30%,quarterly
FAST,7/27/2020,2.30%,quarterly
SAFM,7/27/2020,1.10%,quarterly
AMRB,7/28/2020,2.70%,quarterly
ATR,7/28/2020,1.22%,quarterly
CRWOY,7/28/2020,3.74%,annual
CFG,7/28/2020,6.20%,quarterly
CLX,7/28/2020,2.20%,quarterly
ENTG,7/28/2020,0.55%,quarterly
GBX,7/28/2020,4.20%,quarterly
HARL,7/28/2020,4.86%,quarterly
WST,7/28/2020,0.27%,quarterly
EMCB,7/28/2020,4.24%,monthly
HYZD,7/28/2020,5.16%,monthly
AGZD,7/28/2020,2.12%,monthly
DGRW,7/28/2020,1.40%,monthly
DGRS,7/28/2020,1.55%,monthly
AM,7/29/2020,21.39%,quarterly
BPMP,7/29/2020,12.35%,quarterly
ERF,7/29/2020,3.20%,monthly
FRC,7/29/2020,0.75%,quarterly
HMLP,7/29/2020,15.88%,quarterly
KNOP,7/29/2020,14.76%,quarterly
MSB,7/29/2020,1.27%,quarterly
PVBC,7/29/2020,1.45%,quarterly
SCSG,7/29/2020,3.28%,quarterly
AOS,7/30/2020,1.98%,quarterly
AGNC,7/30/2020,11.30%,jul 20
LNT,7/30/2020,3.15%,quarterly
ALLY,7/30/2020,3.47%,quarterly
DIT,7/30/2020,1.10%,quarterly
ATLO,7/30/2020,5.30%,quarterly
BMRC,7/30/2020,2.80%,quarterly
BRMK,7/30/2020,9.90%,monthly
CADE,7/30/2020,2.54%,quarterly
CSSEP,7/30/2020,10.30%,monthly
COST,7/30/2020,0.86%,quarterly
CRT,7/30/2020,5.98%,monthly
CCLP,7/30/2020,4.35%,quarterly
DCP,7/30/2020,11.60%,quarterly
DNP,7/30/2020,7.00%,monthly
EV,7/30/2020,4.00%,quarterly
EFC,7/30/2020,9.68%,monthly
ENLC,7/30/2020,14.30%,quarterly
EPD,7/30/2020,10.25%,quarterly
FTF,7/30/2020,11.40%,monthly
FT,7/30/2020,5.50%,monthly
GEL,7/30/2020,9.93%,quarterly
GECC,7/30/2020,22.30%,monthly
GPP,7/30/2020,6.58%,quarterly
AVAL,7/30/2020,6.80%,monthly
INFO,7/30/2020,0.90%,quarterly
IIPZF,7/30/2020,2.17%,monthly
KFFB,7/30/2020,6.10%,quarterly
MCBS,7/30/2020,2.67%,quarterly
MS,7/30/2020,2.67%,quarterly
MTBCP,7/30/2020,11.00%,monthly
NNN,7/30/2020,5.90%,quarterly
NBW,7/30/2020,4.10%,monthly
NBH,7/30/2020,5.00%,monthly
NBO,7/30/2020,4.00%,monthly
NYCB/PU,7/30/2020,,
NI,7/30/2020,3.64%,quarterly
NWN,7/30/2020,3.61%,quarterly
OVBC,7/30/2020,4.06%,quarterly
OSBC,7/30/2020,0.51%,quarterly
OHI,7/30/2020,8.89%,quarterly
ORC,7/30/2020,15.16%,monthly
PBT,7/30/2020,2.08%,monthly
PETS,7/30/2020,3.36%,quarterly
PFE,7/30/2020,4.74%,quarterly
PSXP,7/30/2020,11.55%,quarterly
PAA,7/30/2020,8.20%,quarterly
PAGP,7/30/2020,8.10%,quarterly
PLBC,7/30/2020,1.10%,quarterly
PSEC,7/30/2020,16.30%,monthly
SACH,7/30/2020,13.70%,quarterly
BSRR,7/30/2020,4.55%,quarterly
SBNY,7/30/2020,2.10%,quarterly
SLG,7/30/2020,7.65%,monthly
